import_date,ym,dept_code,work_type,customer_code,activity_number,activity_name,project_number,rcv_order_number,acceptance_number,due_date_number,disclosure_category,transfer_to_dept_code,transfer_to_activity_number,transfer_to_work_type,transfer_from_dept_code,transfer_from_activity_number,transfer_from_work_type,direct_regular_manhours,direct_temporary_manhours,total_direct_manhours,indirect_regular_manhours,indirect_temporary_manhours,total_indirect_manhours,total_manhours,direct_internal_purchase,direct_inter_dept_purchase,direct_raw_material_purchase,direct_wip_transfer,total_direct_material_cost,direct_regular_salary,direct_regular_commuting,direct_regular_bonus_accrual,direct_regular_retirement_cost,direct_regular_pension,direct_regular_legal_welfare,direct_welfare_cost,direct_temporary_salary,direct_temporary_commuting,direct_temporary_bonus_accrual,direct_temporary_retirement_cost,direct_temporary_pension,direct_temporary_legal_welfare,total_direct_labor_cost,indirect_regular_salary,indirect_regular_commuting,indirect_regular_bonus_accrual,indirect_regular_retirement_cost,indirect_regular_pension,indirect_regular_legal_welfare,indirect_welfare_cost,indirect_temporary_salary,indirect_temporary_commuting,indirect_temporary_bonus_accrual,indirect_temporary_retirement_cost,indirect_temporary_pension,indirect_temporary_legal_welfare,total_indirect_labor_cost,total_labor_cost,direct_subcontract_in,direct_subcontract_out,direct_term_subcontract,direct_progress_subcontract,total_direct_subcontract,indirect_subcontract_in,indirect_subcontract_out,indirect_term_subcontract,total_indirect_subcontract,total_subcontract,direct_travel_cost,direct_vehicle_cost,direct_communication_cost,direct_supplies_cost,direct_utility,direct_rent,direct_meeting_cost,direct_depreciation_cost,direct_tax_and_dues,direct_leasing_cost,direct_repair_cost,direct_insurance_cost,direct_book_cost,direct_manufacturing_misc,direct_construction_loss_reserve,total_direct_manufacturing_overhead,indirect_travel_cost,indirect_vehicle_cost,indirect_communication_cost,indirect_supplies_cost,indirect_utility,indirect_rent,indirect_meeting_cost,indirect_depreciation_cost,indirect_tax_and_dues,indirect_leasing_cost,indirect_repair_cost,indirect_insurance_cost,indirect_book_cost,indirect_manufacturing_misc,indirect_construction_loss_reserve,total_indirect_manufacturing_overhead,total_manufacturing_overhead,total_direct_cost,total_indirect_cost,manufacturing_cost,created
2026/1/1,2026/1/1,154,13,11,KM0101,テスト,91000,1,1,1,1,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,41,0,41,2026/1/1 0:00
2026/1/1,2026/1/1,154,13,11,KM0201,テスト,91000,2,1,1,1,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,41,0,41,2026/1/1 0:00
2026/1/1,2026/1/1,154,13,11,KM0301,テスト,91001,1,1,1,1,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,41,0,41,2026/1/1 0:00
2026/1/1,2026/1/1,154,13,11,KM0401,テスト,91002,1,1,1,1,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,112,0,112,2026/1/1 0:00
2026/1/1,2026/1/1,154,13,11,KM0501,テスト,91003,1,1,1,1,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,112,0,112,2026/1/1 0:00
2026/1/1,2026/1/1,154,13,11,KM0601,テスト,91004,1,1,1,1,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<NULL>,<NULL>,0,<NULL>,2026/1/1 0:00
2026/1/1,2026/1/1,154,13,11,KM0701,テスト,91005,1,1,1,1,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153,153,0,153,2026/1/1 0:00
2026/1/1,2026/1/1,154,13,11,KM0801,テスト,91006,1,1,1,1,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153,153,0,153,2026/1/1 0:00
2026/1/1,2026/1/1,154,13,11,KM0901,テスト,91007,1,1,1,1,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147,147,0,147,2026/1/1 0:00
2026/1/1,2026/1/1,154,13,11,KM1001,テスト,91008,1,1,1,1,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,83,0,83,2026/1/1 0:00
2026/1/1,2026/1/1,154,13,11,KM1101,テスト,91009,1,1,1,1,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122,122,0,122,2026/1/1 0:00
2026/1/1,2026/1/1,154,13,11,KM1102,テスト,91010,1,1,1,1,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,61,0,61,2026/1/1 0:00
2026/1/1,2026/1/1,219,13,11,IF0101,テスト,92000,1,1,1,1,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,61,0,61,2026/1/1 0:00
2026/1/1,2026/1/1,219,61,11,IF0201,テスト,92000,2,1,1,1,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1502291,1502291,0,1502291,2026/1/1 0:00
