import_date,register_number,target_date,manhours_fsi_member,manhours_contract_member,manhours_accepted_member,created
2026/1/1,KM0101,2026/1/1,183.17,0,78.33,2026/1/1 0:00
2026/1/1,KM0201,2026/1/1,528.33,0,178.83,2026/1/1 0:00
2026/1/1,KM0301,2026/1/1,200.5,0,<NULL>,2026/1/1 0:00
2026/1/1,KM0401,2026/1/1,<NULL>,0,70.5,2026/1/1 0:00
2026/1/1,KM0501,2026/1/1,236.83,<NULL>,0,2026/1/1 0:00
2026/1/1,KM0601,2026/1/1,112.5,0,330.17,2026/1/1 0:00
2026/1/1,KM0701,2026/1/1,413.33,0,202.5,2026/1/1 0:00
2026/1/1,KM0801,2026/1/1,114.17,0,0,2026/1/1 0:00
2026/1/1,KM0901,2026/1/1,5,0,0,2026/1/1 0:00
2026/1/1,KM1001,2026/1/1,53.17,0,0.5,2026/1/1 0:00
2026/1/1,KM1101,2026/1/1,72,0,0,2026/1/1 0:00
2026/1/1,KM1102,2026/1/1,15,0,0,2026/1/1 0:00
2026/1/1,IF0101,2026/1/1,21,0,0,2026/1/1 0:00
2026/1/1,IF0201,2026/1/1,303,0,0,2026/1/1 0:00
2026/1/1,IF0301,2026/1/1,197.67,0,0,2026/1/1 0:00
2026/1/1,IF0401,2026/1/1,0.67,0,0,2026/1/1 0:00
2026/1/1,IF0501,2026/1/1,192.17,0,0,2026/1/1 0:00
2026/1/1,IF0601,2026/1/1,10.67,0,0,2026/1/1 0:00
2026/1/1,IF0701,2026/1/1,251,0,0,2026/1/1 0:00
2026/1/1,IF0801,2026/1/1,170.5,0,174.83,2026/1/1 0:00
2026/1/1,IF0901,2026/1/1,185,0,0,2026/1/1 0:00
2026/1/1,IF1001,2026/1/1,16.67,0,0,2026/1/1 0:00
2026/1/1,IF1101,2026/1/1,280.17,0,0,2026/1/1 0:00
2026/1/1,IF1102,2026/1/1,76.83,0,0,2026/1/1 0:00
2026/1/1,SO0101,2026/1/1,5,0,157.5,2026/1/1 0:00
2026/1/1,SO0201,2026/1/1,26,0,0,2026/1/1 0:00
2026/1/1,SO0301,2026/1/1,564.5,0,0,2026/1/1 0:00
2026/1/1,SO0401,2026/1/1,164.67,0,0,2026/1/1 0:00
2026/1/1,SO0501,2026/1/1,191.5,0,0,2026/1/1 0:00
2026/1/1,SO0601,2026/1/1,315.5,0,169.5,2026/1/1 0:00
2026/1/1,SO0701,2026/1/1,120,0,0,2026/1/1 0:00
2026/1/1,SO0801,2026/1/1,50.17,0,0,2026/1/1 0:00
2026/1/1,SO0901,2026/1/1,397.33,0,0,2026/1/1 0:00
2026/1/1,SO1001,2026/1/1,7,0,0,2026/1/1 0:00
2026/1/1,SO1101,2026/1/1,281.17,0,186.5,2026/1/1 0:00
2026/1/1,SO1102,2026/1/1,15.5,0,164.5,2026/1/1 0:00
2026/1/1,KM0101,2026/2/1,81.5,0,0,2026/1/1 0:00
2026/1/1,KM0201,2026/2/1,72.83,0,144,2026/1/1 0:00
2026/1/1,KM0301,2026/2/1,164,0,0,2026/1/1 0:00
2026/1/1,KM0401,2026/2/1,391.67,0,100.5,2026/1/1 0:00
2026/1/1,KM0501,2026/2/1,0.5,0,0,2026/1/1 0:00
2026/1/1,KM0601,2026/2/1,60,0,320,2026/1/1 0:00
2026/1/1,KM0701,2026/2/1,2.67,0,0,2026/1/1 0:00
2026/1/1,KM0801,2026/2/1,174.75,0,179.5,2026/1/1 0:00
2026/1/1,KM0901,2026/2/1,171,0,0,2026/1/1 0:00
2026/1/1,KM1001,2026/2/1,41.17,0,0,2026/1/1 0:00
2026/1/1,KM1101,2026/2/1,356.17,0,0,2026/1/1 0:00
2026/1/1,KM1102,2026/2/1,193.17,0,0,2026/1/1 0:00
2026/1/1,IF0101,2026/2/1,186,0,0,2026/1/1 0:00
2026/1/1,IF0201,2026/2/1,18,0,0,2026/1/1 0:00
2026/1/1,IF0301,2026/2/1,14,0,0,2026/1/1 0:00
2026/1/1,IF0401,2026/2/1,90.33,0,301.5,2026/1/1 0:00
2026/1/1,IF0501,2026/2/1,457.17,0,0,2026/1/1 0:00
2026/1/1,IF0601,2026/2/1,0,0,316,2026/1/1 0:00
2026/1/1,IF0701,2026/2/1,135,0,0,2026/1/1 0:00
2026/1/1,IF0801,2026/2/1,143.67,0,178.17,2026/1/1 0:00
2026/1/1,IF0901,2026/2/1,290.33,0,0,2026/1/1 0:00
2026/1/1,IF1001,2026/2/1,74.83,0,0,2026/1/1 0:00
2026/1/1,IF1101,2026/2/1,0,0,13,2026/1/1 0:00
2026/1/1,IF1102,2026/2/1,58.33,0,0,2026/1/1 0:00
2026/1/1,SO0101,2026/2/1,40,0,0,2026/1/1 0:00
2026/1/1,SO0201,2026/2/1,1109.67,0,0,2026/1/1 0:00
2026/1/1,SO0301,2026/2/1,251.5,0,0,2026/1/1 0:00
2026/1/1,SO0401,2026/2/1,177.5,0,0,2026/1/1 0:00
2026/1/1,SO0501,2026/2/1,5,0,0,2026/1/1 0:00
2026/1/1,SO0601,2026/2/1,159,0,0,2026/1/1 0:00
2026/1/1,SO0701,2026/2/1,199.83,0,451.5,2026/1/1 0:00
2026/1/1,SO0801,2026/2/1,126,0,100.5,2026/1/1 0:00
2026/1/1,SO0901,2026/2/1,0.5,0,0,2026/1/1 0:00
2026/1/1,SO1001,2026/2/1,178.5,0,0,2026/1/1 0:00
2026/1/1,SO1101,2026/2/1,5,0,167,2026/1/1 0:00
2026/1/1,SO1102,2026/2/1,606.83,0,155.5,2026/1/1 0:00
2026/1/1,KM0101,2026/3/1,552,0,177.5,2026/1/1 0:00
2026/1/1,KM0201,2026/3/1,481.17,0,0,2026/1/1 0:00
2026/1/1,KM0301,2026/3/1,38.33,0,0,2026/1/1 0:00
2026/1/1,KM0401,2026/3/1,294,0,186.5,2026/1/1 0:00
2026/1/1,KM0501,2026/3/1,0,0,177,2026/1/1 0:00
2026/1/1,KM0601,2026/3/1,172.17,0,157.83,2026/1/1 0:00
2026/1/1,KM0701,2026/3/1,185.33,0,0,2026/1/1 0:00
2026/1/1,KM0801,2026/3/1,65,0,0,2026/1/1 0:00
2026/1/1,KM0901,2026/3/1,194.5,0,168,2026/1/1 0:00
2026/1/1,KM1001,2026/3/1,166.67,0,0,2026/1/1 0:00
2026/1/1,KM1101,2026/3/1,310.67,0,187,2026/1/1 0:00
2026/1/1,KM1102,2026/3/1,127.33,0,358.5,2026/1/1 0:00
2026/1/1,IF0101,2026/3/1,154.5,0,0,2026/1/1 0:00
2026/1/1,IF0201,2026/3/1,685.33,0,338.5,2026/1/1 0:00
2026/1/1,IF0301,2026/3/1,153,0,0,2026/1/1 0:00
2026/1/1,IF0401,2026/3/1,0,0,179,2026/1/1 0:00
2026/1/1,IF0501,2026/3/1,72,0,0,2026/1/1 0:00
2026/1/1,IF0601,2026/3/1,12,0,0,2026/1/1 0:00
2026/1/1,IF0701,2026/3/1,413.17,0,0,2026/1/1 0:00
2026/1/1,IF0801,2026/3/1,262,0,0,2026/1/1 0:00
2026/1/1,IF0901,2026/3/1,186.83,0,0,2026/1/1 0:00
2026/1/1,IF1001,2026/3/1,10,0,0,2026/1/1 0:00
2026/1/1,IF1101,2026/3/1,155,0,0,2026/1/1 0:00
2026/1/1,IF1102,2026/3/1,0,0,1,2026/1/1 0:00
2026/1/1,SO0101,2026/3/1,18,0,0,2026/1/1 0:00
2026/1/1,SO0201,2026/3/1,1,0,0,2026/1/1 0:00
2026/1/1,SO0301,2026/3/1,35,0,0,2026/1/1 0:00
2026/1/1,SO0401,2026/3/1,101,0,0,2026/1/1 0:00
2026/1/1,SO0501,2026/3/1,365.33,0,340.5,2026/1/1 0:00
